int,binary,isPrime
324,00000000101000100,0
325,00000000101000101,0
326,00000000101000110,0
327,00000000101000111,0
328,00000000101001000,0
329,00000000101001001,0
330,00000000101001010,0
331,00000000101001011,1
332,00000000101001100,0
333,00000000101001101,0
334,00000000101001110,0
335,00000000101001111,0
336,00000000101010000,0
337,00000000101010001,1
338,00000000101010010,0
339,00000000101010011,0
340,00000000101010100,0
341,00000000101010101,0
342,00000000101010110,0
343,00000000101010111,0
344,00000000101011000,0
345,00000000101011001,0
346,00000000101011010,0
347,00000000101011011,1
348,00000000101011100,0
349,00000000101011101,1
350,00000000101011110,0
351,00000000101011111,0
352,00000000101100000,0
353,00000000101100001,1
354,00000000101100010,0
355,00000000101100011,0
356,00000000101100100,0
357,00000000101100101,0
358,00000000101100110,0
359,00000000101100111,1
360,00000000101101000,0
361,00000000101101001,0
362,00000000101101010,0
363,00000000101101011,0
364,00000000101101100,0
365,00000000101101101,0
366,00000000101101110,0
367,00000000101101111,1
368,00000000101110000,0
369,00000000101110001,0
370,00000000101110010,0
371,00000000101110011,0
372,00000000101110100,0
373,00000000101110101,1
374,00000000101110110,0
375,00000000101110111,0
376,00000000101111000,0
377,00000000101111001,0
378,00000000101111010,0
379,00000000101111011,1
380,00000000101111100,0
381,00000000101111101,0
382,00000000101111110,0
383,00000000101111111,1
384,00000000110000000,0
385,00000000110000001,0
386,00000000110000010,0
387,00000000110000011,0
388,00000000110000100,0
389,00000000110000101,1
390,00000000110000110,0
391,00000000110000111,0
392,00000000110001000,0
393,00000000110001001,0
394,00000000110001010,0
395,00000000110001011,0
396,00000000110001100,0
397,00000000110001101,1
398,00000000110001110,0
399,00000000110001111,0
400,00000000110010000,0
401,00000000110010001,1
402,00000000110010010,0
403,00000000110010011,0
404,00000000110010100,0
405,00000000110010101,0
406,00000000110010110,0
407,00000000110010111,0
408,00000000110011000,0
409,00000000110011001,1
410,00000000110011010,0
411,00000000110011011,0
412,00000000110011100,0
413,00000000110011101,0
414,00000000110011110,0
415,00000000110011111,0
416,00000000110100000,0
417,00000000110100001,0
418,00000000110100010,0
419,00000000110100011,1
420,00000000110100100,0
421,00000000110100101,1
422,00000000110100110,0
423,00000000110100111,0
424,00000000110101000,0
425,00000000110101001,0
426,00000000110101010,0
427,00000000110101011,0
428,00000000110101100,0
429,00000000110101101,0
430,00000000110101110,0
431,00000000110101111,1
432,00000000110110000,0
433,00000000110110001,1
434,00000000110110010,0
435,00000000110110011,0
436,00000000110110100,0
437,00000000110110101,0
438,00000000110110110,0
439,00000000110110111,1
440,00000000110111000,0
441,00000000110111001,0
442,00000000110111010,0
443,00000000110111011,1
444,00000000110111100,0
445,00000000110111101,0
446,00000000110111110,0
447,00000000110111111,0
448,00000000111000000,0
449,00000000111000001,1
450,00000000111000010,0
451,00000000111000011,0
452,00000000111000100,0
453,00000000111000101,0
454,00000000111000110,0
455,00000000111000111,0
456,00000000111001000,0
457,00000000111001001,1
458,00000000111001010,0
459,00000000111001011,0
460,00000000111001100,0
461,00000000111001101,1
462,00000000111001110,0
463,00000000111001111,1
464,00000000111010000,0
465,00000000111010001,0
466,00000000111010010,0
467,00000000111010011,1
468,00000000111010100,0
469,00000000111010101,0
470,00000000111010110,0
471,00000000111010111,0
472,00000000111011000,0
473,00000000111011001,0
474,00000000111011010,0
475,00000000111011011,0
476,00000000111011100,0
477,00000000111011101,0
478,00000000111011110,0
479,00000000111011111,1
480,00000000111100000,0
481,00000000111100001,0
482,00000000111100010,0
483,00000000111100011,0
484,00000000111100100,0
485,00000000111100101,0
486,00000000111100110,0
487,00000000111100111,1
488,00000000111101000,0
489,00000000111101001,0
490,00000000111101010,0
491,00000000111101011,1
492,00000000111101100,0
493,00000000111101101,0
494,00000000111101110,0
495,00000000111101111,0
496,00000000111110000,0
497,00000000111110001,0
498,00000000111110010,0
499,00000000111110011,1
500,00000000111110100,0
501,00000000111110101,0
502,00000000111110110,0
503,00000000111110111,1
504,00000000111111000,0
505,00000000111111001,0
506,00000000111111010,0
507,00000000111111011,0
508,00000000111111100,0
509,00000000111111101,1
510,00000000111111110,0
511,00000000111111111,0
512,00000001000000000,0
513,00000001000000001,0
514,00000001000000010,0
515,00000001000000011,0
516,00000001000000100,0
517,00000001000000101,0
518,00000001000000110,0
519,00000001000000111,0
520,00000001000001000,0
521,00000001000001001,1
522,00000001000001010,0
523,00000001000001011,1
524,00000001000001100,0
525,00000001000001101,0
526,00000001000001110,0
527,00000001000001111,0
528,00000001000010000,0
529,00000001000010001,0
530,00000001000010010,0
531,00000001000010011,0
532,00000001000010100,0
533,00000001000010101,0
534,00000001000010110,0
535,00000001000010111,0
536,00000001000011000,0
537,00000001000011001,0
538,00000001000011010,0
539,00000001000011011,0
540,00000001000011100,0
541,00000001000011101,1
542,00000001000011110,0
543,00000001000011111,0
544,00000001000100000,0
545,00000001000100001,0
546,00000001000100010,0
547,00000001000100011,1
548,00000001000100100,0
549,00000001000100101,0
550,00000001000100110,0
551,00000001000100111,0
552,00000001000101000,0
553,00000001000101001,0
554,00000001000101010,0
555,00000001000101011,0
556,00000001000101100,0
557,00000001000101101,1
558,00000001000101110,0
559,00000001000101111,0
560,00000001000110000,0
561,00000001000110001,0
562,00000001000110010,0
563,00000001000110011,1
564,00000001000110100,0
565,00000001000110101,0
566,00000001000110110,0
567,00000001000110111,0
568,00000001000111000,0
569,00000001000111001,1
570,00000001000111010,0
571,00000001000111011,1
572,00000001000111100,0
573,00000001000111101,0
574,00000001000111110,0
575,00000001000111111,0
576,00000001001000000,0
577,00000001001000001,1
578,00000001001000010,0
579,00000001001000011,0
580,00000001001000100,0
581,00000001001000101,0
582,00000001001000110,0
583,00000001001000111,0
584,00000001001001000,0
585,00000001001001001,0
586,00000001001001010,0
587,00000001001001011,1
588,00000001001001100,0
589,00000001001001101,0
590,00000001001001110,0
591,00000001001001111,0
592,00000001001010000,0
593,00000001001010001,1
594,00000001001010010,0
595,00000001001010011,0
596,00000001001010100,0
597,00000001001010101,0
598,00000001001010110,0
599,00000001001010111,1
600,00000001001011000,0
601,00000001001011001,1
602,00000001001011010,0
603,00000001001011011,0
604,00000001001011100,0
605,00000001001011101,0
606,00000001001011110,0
607,00000001001011111,1
608,00000001001100000,0
609,00000001001100001,0
610,00000001001100010,0
611,00000001001100011,0
612,00000001001100100,0
613,00000001001100101,1
614,00000001001100110,0
615,00000001001100111,0
616,00000001001101000,0
617,00000001001101001,1
618,00000001001101010,0
619,00000001001101011,1
620,00000001001101100,0
621,00000001001101101,0
622,00000001001101110,0
623,00000001001101111,0
624,00000001001110000,0
625,00000001001110001,0
626,00000001001110010,0
627,00000001001110011,0
628,00000001001110100,0
629,00000001001110101,0
630,00000001001110110,0
631,00000001001110111,1
632,00000001001111000,0
633,00000001001111001,0
634,00000001001111010,0
635,00000001001111011,0
636,00000001001111100,0
637,00000001001111101,0
638,00000001001111110,0
639,00000001001111111,0
640,00000001010000000,0
641,00000001010000001,1
642,00000001010000010,0
643,00000001010000011,1
644,00000001010000100,0
645,00000001010000101,0
646,00000001010000110,0
647,00000001010000111,1
648,00000001010001000,0
649,00000001010001001,0
650,00000001010001010,0
651,00000001010001011,0
652,00000001010001100,0
653,00000001010001101,1
654,00000001010001110,0
655,00000001010001111,0
656,00000001010010000,0
657,00000001010010001,0
658,00000001010010010,0
659,00000001010010011,1
660,00000001010010100,0
661,00000001010010101,1
662,00000001010010110,0
663,00000001010010111,0
664,00000001010011000,0
665,00000001010011001,0
666,00000001010011010,0
667,00000001010011011,0
668,00000001010011100,0
669,00000001010011101,0
670,00000001010011110,0
671,00000001010011111,0
672,00000001010100000,0
673,00000001010100001,1
674,00000001010100010,0
675,00000001010100011,0
676,00000001010100100,0
677,00000001010100101,1
678,00000001010100110,0
679,00000001010100111,0
680,00000001010101000,0
681,00000001010101001,0
682,00000001010101010,0
683,00000001010101011,1
684,00000001010101100,0
685,00000001010101101,0
686,00000001010101110,0
687,00000001010101111,0
688,00000001010110000,0
689,00000001010110001,0
690,00000001010110010,0
691,00000001010110011,1
692,00000001010110100,0
693,00000001010110101,0
694,00000001010110110,0
695,00000001010110111,0
696,00000001010111000,0
697,00000001010111001,0
698,00000001010111010,0
699,00000001010111011,0
700,00000001010111100,0
701,00000001010111101,1
702,00000001010111110,0
703,00000001010111111,0
704,00000001011000000,0
705,00000001011000001,0
706,00000001011000010,0
707,00000001011000011,0
708,00000001011000100,0
709,00000001011000101,1
710,00000001011000110,0
711,00000001011000111,0
712,00000001011001000,0
713,00000001011001001,0
714,00000001011001010,0
715,00000001011001011,0
716,00000001011001100,0
717,00000001011001101,0
718,00000001011001110,0
719,00000001011001111,1
720,00000001011010000,0
721,00000001011010001,0
722,00000001011010010,0
723,00000001011010011,0
724,00000001011010100,0
725,00000001011010101,0
726,00000001011010110,0
727,00000001011010111,1
728,00000001011011000,0
729,00000001011011001,0
730,00000001011011010,0
731,00000001011011011,0
732,00000001011011100,0
733,00000001011011101,1
734,00000001011011110,0
735,00000001011011111,0
736,00000001011100000,0
737,00000001011100001,0
738,00000001011100010,0
739,00000001011100011,1
740,00000001011100100,0
741,00000001011100101,0
742,00000001011100110,0
743,00000001011100111,1
744,00000001011101000,0
745,00000001011101001,0
746,00000001011101010,0
747,00000001011101011,0
748,00000001011101100,0
749,00000001011101101,0
750,00000001011101110,0
751,00000001011101111,1
752,00000001011110000,0
753,00000001011110001,0
754,00000001011110010,0
755,00000001011110011,0
756,00000001011110100,0
757,00000001011110101,1
758,00000001011110110,0
759,00000001011110111,0
760,00000001011111000,0
761,00000001011111001,1
762,00000001011111010,0
763,00000001011111011,0
764,00000001011111100,0
765,00000001011111101,0
766,00000001011111110,0
767,00000001011111111,0
768,00000001100000000,0
769,00000001100000001,1
770,00000001100000010,0
771,00000001100000011,0
772,00000001100000100,0
773,00000001100000101,1
774,00000001100000110,0
775,00000001100000111,0
776,00000001100001000,0
777,00000001100001001,0
778,00000001100001010,0
779,00000001100001011,0
780,00000001100001100,0
781,00000001100001101,0
782,00000001100001110,0
783,00000001100001111,0
784,00000001100010000,0
785,00000001100010001,0
786,00000001100010010,0
787,00000001100010011,1
788,00000001100010100,0
789,00000001100010101,0
790,00000001100010110,0
791,00000001100010111,0
792,00000001100011000,0
793,00000001100011001,0
794,00000001100011010,0
795,00000001100011011,0
796,00000001100011100,0
797,00000001100011101,1
798,00000001100011110,0
799,00000001100011111,0
800,00000001100100000,0
801,00000001100100001,0
802,00000001100100010,0
803,00000001100100011,0
804,00000001100100100,0
805,00000001100100101,0
806,00000001100100110,0
807,00000001100100111,0
808,00000001100101000,0
809,00000001100101001,1
810,00000001100101010,0
811,00000001100101011,1
812,00000001100101100,0
813,00000001100101101,0
814,00000001100101110,0
815,00000001100101111,0
816,00000001100110000,0
817,00000001100110001,0
818,00000001100110010,0
819,00000001100110011,0
820,00000001100110100,0
821,00000001100110101,1
822,00000001100110110,0
823,00000001100110111,1
824,00000001100111000,0
825,00000001100111001,0
826,00000001100111010,0
827,00000001100111011,1
828,00000001100111100,0
829,00000001100111101,1
830,00000001100111110,0
831,00000001100111111,0
832,00000001101000000,0
833,00000001101000001,0
834,00000001101000010,0
835,00000001101000011,0
836,00000001101000100,0
837,00000001101000101,0
838,00000001101000110,0
839,00000001101000111,1
840,00000001101001000,0
841,00000001101001001,0
842,00000001101001010,0
843,00000001101001011,0
844,00000001101001100,0
845,00000001101001101,0
846,00000001101001110,0
847,00000001101001111,0
848,00000001101010000,0
849,00000001101010001,0
850,00000001101010010,0
851,00000001101010011,0
852,00000001101010100,0
853,00000001101010101,1
854,00000001101010110,0
855,00000001101010111,0
856,00000001101011000,0
857,00000001101011001,1
858,00000001101011010,0
859,00000001101011011,1
860,00000001101011100,0
861,00000001101011101,0
862,00000001101011110,0
863,00000001101011111,1
864,00000001101100000,0
865,00000001101100001,0
866,00000001101100010,0
867,00000001101100011,0
868,00000001101100100,0
869,00000001101100101,0
870,00000001101100110,0
871,00000001101100111,0
872,00000001101101000,0
873,00000001101101001,0
874,00000001101101010,0
875,00000001101101011,0
876,00000001101101100,0
877,00000001101101101,1
878,00000001101101110,0
879,00000001101101111,0
880,00000001101110000,0
881,00000001101110001,1
882,00000001101110010,0
883,00000001101110011,1
884,00000001101110100,0
885,00000001101110101,0
886,00000001101110110,0
887,00000001101110111,1
888,00000001101111000,0
889,00000001101111001,0
890,00000001101111010,0
891,00000001101111011,0
892,00000001101111100,0
893,00000001101111101,0
894,00000001101111110,0
895,00000001101111111,0
896,00000001110000000,0
897,00000001110000001,0
898,00000001110000010,0
899,00000001110000011,0
900,00000001110000100,0
901,00000001110000101,0
902,00000001110000110,0
903,00000001110000111,0
904,00000001110001000,0
905,00000001110001001,0
906,00000001110001010,0
907,00000001110001011,1
908,00000001110001100,0
909,00000001110001101,0
910,00000001110001110,0
911,00000001110001111,1
912,00000001110010000,0
913,00000001110010001,0
914,00000001110010010,0
915,00000001110010011,0
916,00000001110010100,0
917,00000001110010101,0
918,00000001110010110,0
919,00000001110010111,1
920,00000001110011000,0
921,00000001110011001,0
922,00000001110011010,0
923,00000001110011011,0
924,00000001110011100,0
925,00000001110011101,0
926,00000001110011110,0
927,00000001110011111,0
928,00000001110100000,0
929,00000001110100001,1
930,00000001110100010,0
931,00000001110100011,0
932,00000001110100100,0
933,00000001110100101,0
934,00000001110100110,0
935,00000001110100111,0
936,00000001110101000,0
937,00000001110101001,1
938,00000001110101010,0
939,00000001110101011,0
940,00000001110101100,0
941,00000001110101101,1
942,00000001110101110,0
943,00000001110101111,0
944,00000001110110000,0
945,00000001110110001,0
946,00000001110110010,0
947,00000001110110011,1
948,00000001110110100,0
949,00000001110110101,0
950,00000001110110110,0
951,00000001110110111,0
952,00000001110111000,0
953,00000001110111001,1
954,00000001110111010,0
955,00000001110111011,0
956,00000001110111100,0
957,00000001110111101,0
958,00000001110111110,0
959,00000001110111111,0
960,00000001111000000,0
961,00000001111000001,0
962,00000001111000010,0
963,00000001111000011,0
964,00000001111000100,0
965,00000001111000101,0
966,00000001111000110,0
967,00000001111000111,1
968,00000001111001000,0
969,00000001111001001,0
970,00000001111001010,0
971,00000001111001011,1
972,00000001111001100,0
973,00000001111001101,0
974,00000001111001110,0
975,00000001111001111,0
976,00000001111010000,0
977,00000001111010001,1
978,00000001111010010,0
979,00000001111010011,0
980,00000001111010100,0
981,00000001111010101,0
982,00000001111010110,0
983,00000001111010111,1
984,00000001111011000,0
985,00000001111011001,0
986,00000001111011010,0
987,00000001111011011,0
988,00000001111011100,0
989,00000001111011101,0
990,00000001111011110,0
991,00000001111011111,1
992,00000001111100000,0
993,00000001111100001,0
994,00000001111100010,0
995,00000001111100011,0
996,00000001111100100,0
997,00000001111100101,1
998,00000001111100110,0
999,00000001111100111,0
1000,00000001111101000,0
1001,00000001111101001,0
1002,00000001111101010,0
1003,00000001111101011,0
1004,00000001111101100,0
1005,00000001111101101,0
1006,00000001111101110,0
1007,00000001111101111,0
1008,00000001111110000,0
1009,00000001111110001,1
1010,00000001111110010,0
1011,00000001111110011,0
1012,00000001111110100,0
1013,00000001111110101,1
1014,00000001111110110,0
1015,00000001111110111,0
1016,00000001111111000,0
1017,00000001111111001,0
1018,00000001111111010,0
1019,00000001111111011,1
1020,00000001111111100,0
1021,00000001111111101,1
1022,00000001111111110,0
1023,00000001111111111,0
1024,00000010000000000,0
1025,00000010000000001,0
1026,00000010000000010,0
1027,00000010000000011,0
1028,00000010000000100,0
1029,00000010000000101,0
1030,00000010000000110,0
1031,00000010000000111,1
1032,00000010000001000,0
1033,00000010000001001,1
1034,00000010000001010,0
1035,00000010000001011,0
1036,00000010000001100,0
1037,00000010000001101,0
1038,00000010000001110,0
1039,00000010000001111,1
1040,00000010000010000,0
1041,00000010000010001,0
1042,00000010000010010,0
1043,00000010000010011,0
1044,00000010000010100,0
1045,00000010000010101,0
1046,00000010000010110,0
1047,00000010000010111,0
1048,00000010000011000,0
1049,00000010000011001,1
1050,00000010000011010,0
1051,00000010000011011,1
1052,00000010000011100,0
1053,00000010000011101,0
1054,00000010000011110,0
1055,00000010000011111,0
1056,00000010000100000,0
1057,00000010000100001,0
1058,00000010000100010,0
1059,00000010000100011,0
1060,00000010000100100,0
1061,00000010000100101,1
1062,00000010000100110,0
1063,00000010000100111,1
1064,00000010000101000,0
1065,00000010000101001,0
1066,00000010000101010,0
1067,00000010000101011,0
1068,00000010000101100,0
1069,00000010000101101,1
1070,00000010000101110,0
1071,00000010000101111,0
1072,00000010000110000,0
1073,00000010000110001,0
1074,00000010000110010,0
1075,00000010000110011,0
1076,00000010000110100,0
1077,00000010000110101,0
1078,00000010000110110,0
1079,00000010000110111,0
1080,00000010000111000,0
1081,00000010000111001,0
1082,00000010000111010,0
1083,00000010000111011,0
1084,00000010000111100,0
1085,00000010000111101,0
1086,00000010000111110,0
1087,00000010000111111,1
1088,00000010001000000,0
1089,00000010001000001,0
1090,00000010001000010,0
1091,00000010001000011,1
1092,00000010001000100,0
1093,00000010001000101,1
1094,00000010001000110,0
1095,00000010001000111,0
1096,00000010001001000,0
1097,00000010001001001,1
1098,00000010001001010,0
1099,00000010001001011,0
1100,00000010001001100,0
1101,00000010001001101,0
1102,00000010001001110,0
1103,00000010001001111,1
1104,00000010001010000,0
1105,00000010001010001,0
1106,00000010001010010,0
1107,00000010001010011,0
1108,00000010001010100,0
1109,00000010001010101,1
1110,00000010001010110,0
1111,00000010001010111,0
1112,00000010001011000,0
1113,00000010001011001,0
1114,00000010001011010,0
1115,00000010001011011,0
1116,00000010001011100,0
1117,00000010001011101,1
1118,00000010001011110,0
1119,00000010001011111,0
1120,00000010001100000,0
1121,00000010001100001,0
1122,00000010001100010,0
1123,00000010001100011,1
1124,00000010001100100,0
1125,00000010001100101,0
1126,00000010001100110,0
1127,00000010001100111,0
1128,00000010001101000,0
1129,00000010001101001,1
1130,00000010001101010,0
1131,00000010001101011,0
1132,00000010001101100,0
1133,00000010001101101,0
1134,00000010001101110,0
1135,00000010001101111,0
1136,00000010001110000,0
1137,00000010001110001,0
1138,00000010001110010,0
1139,00000010001110011,0
1140,00000010001110100,0
1141,00000010001110101,0
1142,00000010001110110,0
1143,00000010001110111,0
1144,00000010001111000,0
1145,00000010001111001,0
1146,00000010001111010,0
1147,00000010001111011,0
1148,00000010001111100,0
1149,00000010001111101,0
1150,00000010001111110,0
1151,00000010001111111,1
1152,00000010010000000,0
1153,00000010010000001,1
1154,00000010010000010,0
1155,00000010010000011,0
1156,00000010010000100,0
1157,00000010010000101,0
1158,00000010010000110,0
1159,00000010010000111,0
1160,00000010010001000,0
1161,00000010010001001,0
1162,00000010010001010,0
1163,00000010010001011,1
1164,00000010010001100,0
1165,00000010010001101,0
1166,00000010010001110,0
1167,00000010010001111,0
1168,00000010010010000,0
1169,00000010010010001,0
1170,00000010010010010,0
1171,00000010010010011,1
1172,00000010010010100,0
1173,00000010010010101,0
1174,00000010010010110,0
1175,00000010010010111,0
1176,00000010010011000,0
1177,00000010010011001,0
1178,00000010010011010,0
1179,00000010010011011,0
1180,00000010010011100,0
1181,00000010010011101,1
1182,00000010010011110,0
1183,00000010010011111,0
1184,00000010010100000,0
1185,00000010010100001,0
1186,00000010010100010,0
1187,00000010010100011,1
1188,00000010010100100,0
1189,00000010010100101,0
1190,00000010010100110,0
1191,00000010010100111,0
1192,00000010010101000,0
1193,00000010010101001,1
1194,00000010010101010,0
1195,00000010010101011,0
1196,00000010010101100,0
1197,00000010010101101,0
1198,00000010010101110,0
1199,00000010010101111,0
1200,00000010010110000,0
1201,00000010010110001,1
1202,00000010010110010,0
1203,00000010010110011,0
1204,00000010010110100,0
1205,00000010010110101,0
1206,00000010010110110,0
1207,00000010010110111,0
1208,00000010010111000,0
1209,00000010010111001,0
1210,00000010010111010,0
1211,00000010010111011,0
1212,00000010010111100,0
1213,00000010010111101,1
1214,00000010010111110,0
1215,00000010010111111,0
1216,00000010011000000,0
1217,00000010011000001,1
1218,00000010011000010,0
1219,00000010011000011,0
1220,00000010011000100,0
1221,00000010011000101,0
1222,00000010011000110,0
1223,00000010011000111,1
1224,00000010011001000,0
1225,00000010011001001,0
1226,00000010011001010,0
1227,00000010011001011,0
1228,00000010011001100,0
1229,00000010011001101,1
1230,00000010011001110,0
1231,00000010011001111,1
1232,00000010011010000,0
1233,00000010011010001,0
1234,00000010011010010,0
1235,00000010011010011,0
1236,00000010011010100,0
1237,00000010011010101,1
1238,00000010011010110,0
1239,00000010011010111,0
1240,00000010011011000,0
1241,00000010011011001,0
1242,00000010011011010,0
1243,00000010011011011,0
1244,00000010011011100,0
1245,00000010011011101,0
1246,00000010011011110,0
1247,00000010011011111,0
